||
Electoral district name|Political affiliation|Votes obtained - Votes obtenus
Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix|NDP-New Democratic Party|2242
Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix|Free Party Canada|449
Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix|Conservative|15969
Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix|People's Party - PPC|881
Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix|Independent|227
Châteauguay--Lacolle|People's Party - PPC|1821
Châteauguay--Lacolle|Conservative|5538
Châteauguay--Lacolle|Pour l'Indépendance du Québec|277
Châteauguay--Lacolle|Free Party Canada|448
Châteauguay--Lacolle|Bloc Québécois|18017
Châteauguay--Lacolle|Green Party|801
Châteauguay--Lacolle|Liberal|18029
Châteauguay--Lacolle|NDP-New Democratic Party|3752
Châteauguay--Lacolle|People's Party - PPC|1870
Châteauguay--Lacolle|Conservative|5534
Châteauguay--Lacolle|Pour l'Indépendance du Québec|295
Châteauguay--Lacolle|Free Party Canada|449
Châteauguay--Lacolle|Bloc Québécois|18368
Châteauguay--Lacolle|Green Party|804
Châteauguay--Lacolle|Liberal|17762
Châteauguay--Lacolle|NDP-New Democratic Party|4089
Châteauguay--Lacolle|People's Party - PPC|1836
Châteauguay--Lacolle|Conservative|5534
Châteauguay--Lacolle|Pour l'Indépendance du Québec|277
Châteauguay--Lacolle|Free Party Canada|449
Châteauguay--Lacolle|Bloc Québécois|18028
Châteauguay--Lacolle|Green Party|804
Châteauguay--Lacolle|Liberal|17742
Châteauguay--Lacolle|NDP-New Democratic Party|4079
Chicoutimi--Le Fjord|Bloc Québécois|14096
Chicoutimi--Le Fjord|Liberal|7746
Chicoutimi--Le Fjord|Green Party|489
Chicoutimi--Le Fjord|Conservative|17291
Chicoutimi--Le Fjord|NDP-New Democratic Party|1952
Chicoutimi--Le Fjord|People's Party - PPC|650
Chicoutimi--Le Fjord|Bloc Québécois|14027
Chicoutimi--Le Fjord|Liberal|7676
Chicoutimi--Le Fjord|Green Party|482
Chicoutimi--Le Fjord|Conservative|17228
Chicoutimi--Le Fjord|NDP-New Democratic Party|1944
Chicoutimi--Le Fjord|People's Party - PPC|649
Compton--Stanstead|NDP-New Democratic Party|4277
Compton--Stanstead|Liberal|21188
Compton--Stanstead|People's Party - PPC|2167
Compton--Stanstead|Bloc Québécois|17688
Compton--Stanstead|Green Party|1626
Compton--Stanstead|Free Party Canada|576
Compton--Stanstead|Independent|187
Compton--Stanstead|Conservative|10087
Compton--Stanstead|NDP-New Democratic Party|4288
Compton--Stanstead|Liberal|21188
Compton--Stanstead|People's Party - PPC|2167
Compton--Stanstead|Bloc Québécois|17681
Compton--Stanstead|Green Party|1623
Compton--Stanstead|Free Party Canada|576
Compton--Stanstead|Independent|186
Compton--Stanstead|Conservative|10087
Dorval--Lachine--LaSalle|Conservative|5754
Dorval--Lachine--LaSalle|Liberal|25233
Dorval--Lachine--LaSalle|Bloc Québécois|7542
Dorval--Lachine--LaSalle|Green Party|1351
Dorval--Lachine--LaSalle|NDP-New Democratic Party|6241
Dorval--Lachine--LaSalle|People's Party - PPC|2020
Dorval--Lachine--LaSalle|Conservative|5754
Dorval--Lachine--LaSalle|Liberal|25233
Dorval--Lachine--LaSalle|Bloc Québécois|7542
Dorval--Lachine--LaSalle|Green Party|1351
Dorval--Lachine--LaSalle|NDP-New Democratic Party|6241
Dorval--Lachine--LaSalle|People's Party - PPC|2020
Drummond|Liberal|9614
Drummond|Bloc Québécois|23819
Drummond|NDP-New Democratic Party|5723
Drummond|Conservative|9166
Drummond|Free Party Canada|1732
Drummond|No Affiliation|419
Drummond|Animal Protection Party|674
Drummond|Liberal|9614
Drummond|Bloc Québécois|23866
Drummond|NDP-New Democratic Party|5709
Drummond|Conservative|9179
Drummond|Free Party Canada|1728
Drummond|No Affiliation|419
Drummond|Animal Protection Party|674
Gaspésie--Les Îles-de-la-Madeleine|Bloc Québécois|14480
Gaspésie--Les Îles-de-la-Madeleine|Liberal|17097
Gaspésie--Les Îles-de-la-Madeleine|Free Party Canada|282
Gaspésie--Les Îles-de-la-Madeleine|NDP-New Democratic Party|1359
Gaspésie--Les Îles-de-la-Madeleine|Conservative|2996
Gaspésie--Les Îles-de-la-Madeleine|People's Party - PPC|621
Gaspésie--Les Îles-de-la-Madeleine|Bloc Québécois|14481
Gaspésie--Les Îles-de-la-Madeleine|Liberal|17099
Gaspésie--Les Îles-de-la-Madeleine|Free Party Canada|289
Gaspésie--Les Îles-de-la-Madeleine|NDP-New Democratic Party|1358
Gaspésie--Les Îles-de-la-Madeleine|Conservative|3010
Gaspésie--Les Îles-de-la-Madeleine|People's Party - PPC|621
Gatineau|Conservative|5708
Gatineau|Parti Rhinocéros Party|180
Gatineau|Green Party|781
Gatineau|Free Party Canada|548
Gatineau|Liberal|26162
Gatineau|Bloc Québécois|12236
Gatineau|NDP-New Democratic Party|4501
Gatineau|People's Party - PPC|2279
Gatineau|Marxist-Leninist|64
Gatineau|Conservative|5752
Gatineau|Parti Rhinocéros Party|178
Gatineau|Green Party|783
Gatineau|Free Party Canada|411
Gatineau|Liberal|26267
Gatineau|Bloc Québécois|12278
Gatineau|NDP-New Democratic Party|4508
Gatineau|People's Party - PPC|2264
Gatineau|Marxist-Leninist|56
Hochelaga|Conservative|2186
Hochelaga|Marxist-Leninist|82
Hochelaga|People's Party - PPC|1070
Hochelaga|Green Party|958
Hochelaga|Bloc Québécois|14866
Hochelaga|Liberal|17953
Hochelaga|Communist|118
Hochelaga|NDP-New Democratic Party|9751
Hochelaga|Parti Rhinocéros Party|237
Hochelaga|Conservative|2221
Hochelaga|Marxist-Leninist|84
Hochelaga|People's Party - PPC|1081
Hochelaga|Green Party|965
Hochelaga|Bloc Québécois|15089
Hochelaga|Liberal|18197
Hochelaga|Communist|108
Hochelaga|NDP-New Democratic Party|9723
Hochelaga|Parti Rhinocéros Party|238
Honoré-Mercier|NDP-New Democratic Party|3537
Honoré-Mercier|Conservative|5096
Honoré-Mercier|Green Party|738
Honoré-Mercier|Marxist-Leninist|89
Honoré-Mercier|Bloc Québécois|7908
Honoré-Mercier|People's Party - PPC|2023
Honoré-Mercier|Liberal|29061
Honoré-Mercier|NDP-New Democratic Party|3537
Honoré-Mercier|Conservative|5086
Honoré-Mercier|Green Party|734
Honoré-Mercier|Marxist-Leninist|88
Honoré-Mercier|Bloc Québécois|7908
Honoré-Mercier|People's Party - PPC|2023
Honoré-Mercier|Liberal|29033
Hull--Aylmer|Independent|144
Hull--Aylmer|Liberal|26893
Hull--Aylmer|People's Party - PPC|1873
Hull--Aylmer|NDP-New Democratic Party|6486
Hull--Aylmer|Green Party|1461
Hull--Aylmer|Free Party Canada|378
Hull--Aylmer|Parti Rhinocéros Party|227
Hull--Aylmer|Conservative|5514
Hull--Aylmer|Bloc Québécois|8259
Hull--Aylmer|Independent|143
Hull--Aylmer|Liberal|26892
Hull--Aylmer|People's Party - PPC|1864
Hull--Aylmer|NDP-New Democratic Party|6483
Hull--Aylmer|Green Party|1459
Hull--Aylmer|Free Party Canada|375
Hull--Aylmer|Parti Rhinocéros Party|203
Hull--Aylmer|Conservative|5507
Hull--Aylmer|Bloc Québécois|8323
Joliette|NDP-New Democratic Party|3100
Joliette|Liberal|12731
Joliette|Free Party Canada|992
Joliette|People's Party - PPC|1771
Joliette|Conservative|5314
Joliette|Green Party|1126
Joliette|Bloc Québécois|30913
Joliette|Marijuana Party|251
Joliette|NDP-New Democratic Party|3100
Joliette|Liberal|12731
Joliette|Free Party Canada|992
Joliette|People's Party - PPC|1771
Joliette|Conservative|5314
Joliette|Green Party|1126
Joliette|Bloc Québécois|30913
Joliette|Marijuana Party|251
Jonquière|Liberal|9529
Jonquière|Parti Rhinocéros Party|372
Jonquière|Conservative|13323
Jonquière|NDP-New Democratic Party|2625
Jonquière|Bloc Québécois|19036
Jonquière|Green Party|744
Jonquière|Liberal|9546
Jonquière|Parti Rhinocéros Party|372
Jonquière|Conservative|13223
Jonquière|NDP-New Democratic Party|2559
Jonquière|Bloc Québécois|19036
Jonquière|Green Party|738
La Pointe-de-l'Île|Conservative|3441
La Pointe-de-l'Île|Bloc Québécois|23835
La Pointe-de-l'Île|People's Party - PPC|1399
La Pointe-de-l'Île|Liberal|16480
La Pointe-de-l'Île|Free Party Canada|605
La Pointe-de-l'Île|Pour l'Indépendance du Québec|221
La Pointe-de-l'Île|Marxist-Leninist|170
La Pointe-de-l'Île|NDP-New Democratic Party|5124
La Pointe-de-l'Île|Conservative|3427
La Pointe-de-l'Île|Bloc Québécois|23835
La Pointe-de-l'Île|People's Party - PPC|1399
La Pointe-de-l'Île|Liberal|16508
La Pointe-de-l'Île|Free Party Canada|577
La Pointe-de-l'Île|Pour l'Indépendance du Québec|221
La Pointe-de-l'Île|Marxist-Leninist|159
La Pointe-de-l'Île|NDP-New Democratic Party|4954
La Prairie|Marxist-Leninist|98
La Prairie|Liberal|20447
La Prairie|People's Party - PPC|1535
La Prairie|NDP-New Democratic Party|4338
La Prairie|Green Party|1005
La Prairie|Bloc Québécois|25742
La Prairie|Conservative|5877
La Prairie|Marxist-Leninist|98
La Prairie|Liberal|20470
La Prairie|People's Party - PPC|1532
La Prairie|NDP-New Democratic Party|4317
La Prairie|Green Party|983
La Prairie|Bloc Québécois|25862
La Prairie|Conservative|5878
Lac-Saint-Jean|Conservative|12788
Lac-Saint-Jean|Bloc Québécois|25351
Lac-Saint-Jean|NDP-New Democratic Party|1723
Lac-Saint-Jean|Green Party|823
Lac-Saint-Jean|Liberal|9311
Lac-Saint-Jean|Conservative|12899
Lac-Saint-Jean|Bloc Québécois|25466
Lac-Saint-Jean|NDP-New Democratic Party|1637
Lac-Saint-Jean|Green Party|824
Lac-Saint-Jean|Liberal|9371
Lac-Saint-Louis|Conservative|10570
Lac-Saint-Louis|NDP-New Democratic Party|7370
Lac-Saint-Louis|Green Party|1805
Lac-Saint-Louis|People's Party - PPC|1679
Lac-Saint-Louis|Bloc Québécois|3005
Lac-Saint-Louis|Liberal|30777
Lac-Saint-Louis|Conservative|10911
Lac-Saint-Louis|NDP-New Democratic Party|7679
Lac-Saint-Louis|Green Party|1868
Lac-Saint-Louis|People's Party - PPC|1712
Lac-Saint-Louis|Bloc Québécois|3078
Lac-Saint-Louis|Liberal|32477
LaSalle--Émard--Verdun|Free Party Canada|646
LaSalle--Émard--Verdun|Green Party|1439
LaSalle--Émard--Verdun|NDP-New Democratic Party|9156
LaSalle--Émard--Verdun|Communist|232
LaSalle--Émard--Verdun|Bloc Québécois|10636
LaSalle--Émard--Verdun|Liberal|20254
LaSalle--Émard--Verdun|Conservative|3520
LaSalle--Émard--Verdun|People's Party - PPC|1596
LaSalle--Émard--Verdun|Free Party Canada|636
LaSalle--Émard--Verdun|Green Party|1439
LaSalle--Émard--Verdun|NDP-New Democratic Party|9168
LaSalle--Émard--Verdun|Communist|196
LaSalle--Émard--Verdun|Bloc Québécois|10461
LaSalle--Émard--Verdun|Liberal|20330
LaSalle--Émard--Verdun|Conservative|3530
LaSalle--Émard--Verdun|People's Party - PPC|1600
Laurentides--Labelle|NDP-New Democratic Party|3905
Laurentides--Labelle|People's Party - PPC|2433
Laurentides--Labelle|Bloc Québécois|32033
Laurentides--Labelle|Conservative|6769
Laurentides--Labelle|Green Party|1570
Laurentides--Labelle|Free Party Canada|1165
Laurentides--Labelle|Liberal|15950
Laurentides--Labelle|Independent|178
Laurentides--Labelle|NDP-New Democratic Party|3907
Laurentides--Labelle|People's Party - PPC|2432
Laurentides--Labelle|Bloc Québécois|32133
Laurentides--Labelle|Conservative|6770
Laurentides--Labelle|Green Party|1570
Laurentides--Labelle|Free Party Canada|1165
Laurentides--Labelle|Liberal|15966
Laurentides--Labelle|Independent|180
Laurier--Sainte-Marie|Liberal|16916
Laurier--Sainte-Marie|Independent|74
Laurier--Sainte-Marie|Marxist-Leninist|70
Laurier--Sainte-Marie|Animal Protection Party|199
Laurier--Sainte-Marie|Green Party|1002
Laurier--Sainte-Marie|NDP-New Democratic Party|14674
Laurier--Sainte-Marie|Bloc Québécois|9110
Laurier--Sainte-Marie|Free Party Canada|239
Laurier--Sainte-Marie|Conservative|1483
Laurier--Sainte-Marie|People's Party - PPC|758
Laurier--Sainte-Marie|Communist|94
Laurier--Sainte-Marie|Liberal|16961
Laurier--Sainte-Marie|Independent|74
Laurier--Sainte-Marie|Marxist-Leninist|70
Laurier--Sainte-Marie|Animal Protection Party|199
Laurier--Sainte-Marie|Green Party|992
Laurier--Sainte-Marie|NDP-New Democratic Party|14680
Laurier--Sainte-Marie|Bloc Québécois|9114
Laurier--Sainte-Marie|Free Party Canada|233
Laurier--Sainte-Marie|Conservative|1500
Laurier--Sainte-Marie|People's Party - PPC|758
Laurier--Sainte-Marie|Communist|95
Laval--Les Îles|People's Party - PPC|2549
Laval--Les Îles|Liberal|24631
Laval--Les Îles|Bloc Québécois|9665
Laval--Les Îles|Conservative|8944
Laval--Les Îles|Green Party|799
Laval--Les Îles|NDP-New Democratic Party|3863
Laval--Les Îles|People's Party - PPC|2571
Laval--Les Îles|Liberal|24758
Laval--Les Îles|Bloc Québécois|9656
Laval--Les Îles|Conservative|8963
Laval--Les Îles|Green Party|760
Laval--Les Îles|NDP-New Democratic Party|3889
Longueuil--Charles-LeMoyne|Bloc Québécois|16959
Longueuil--Charles-LeMoyne|Green Party|1163
Longueuil--Charles-LeMoyne|Marxist-Leninist|128
Longueuil--Charles-LeMoyne|NDP-New Democratic Party|4957
Longueuil--Charles-LeMoyne|Conservative|4035
Longueuil--Charles-LeMoyne|People's Party - PPC|1409
Longueuil--Charles-LeMoyne|Liberal|19319
Longueuil--Charles-LeMoyne|Bloc Québécois|16926
Longueuil--Charles-LeMoyne|Green Party|1170
Longueuil--Charles-LeMoyne|Marxist-Leninist|122
Longueuil--Charles-LeMoyne|NDP-New Democratic Party|4957
Longueuil--Charles-LeMoyne|Conservative|3986
Longueuil--Charles-LeMoyne|People's Party - PPC|1409
Longueuil--Charles-LeMoyne|Liberal|19400
Lévis--Lotbinière|Green Party|855
Lévis--Lotbinière|Parti Patriote|95
Lévis--Lotbinière|Liberal|9270
Lévis--Lotbinière|NDP-New Democratic Party|4490
Lévis--Lotbinière|Conservative|32668
Lévis--Lotbinière|Bloc Québécois|13739
Lévis--Lotbinière|Free Party Canada|548
Lévis--Lotbinière|People's Party - PPC|1661
Lévis--Lotbinière|Green Party|856
Lévis--Lotbinière|Parti Patriote|95
Lévis--Lotbinière|Liberal|9286
Lévis--Lotbinière|NDP-New Democratic Party|4497
Lévis--Lotbinière|Conservative|32731
Lévis--Lotbinière|Bloc Québécois|13740
Lévis--Lotbinière|Free Party Canada|541
Lévis--Lotbinière|People's Party - PPC|1661
Longueuil--Saint-Hubert|Liberal|21930
Longueuil--Saint-Hubert|People's Party - PPC|1358
Longueuil--Saint-Hubert|Green Party|1599
Longueuil--Saint-Hubert|Pour l'Indépendance du Québec|252
Longueuil--Saint-Hubert|NDP-New Democratic Party|4553
Longueuil--Saint-Hubert|Conservative|3964
Longueuil--Saint-Hubert|Bloc Québécois|23579
Longueuil--Saint-Hubert|Liberal|21930
Longueuil--Saint-Hubert|People's Party - PPC|1358
Longueuil--Saint-Hubert|Green Party|1599
Longueuil--Saint-Hubert|Pour l'Indépendance du Québec|252
Longueuil--Saint-Hubert|NDP-New Democratic Party|4553
Longueuil--Saint-Hubert|Conservative|3964
Longueuil--Saint-Hubert|Bloc Québécois|23579
Louis-Hébert|Green Party|1572
Louis-Hébert|Independent|379
Louis-Hébert|Bloc Québécois|16249
Louis-Hébert|Liberal|22933
Louis-Hébert|Conservative|14332
Louis-Hébert|NDP-New Democratic Party|4324
Louis-Hébert|Green Party|1573
Louis-Hébert|Independent|378
Louis-Hébert|Bloc Québécois|16247
Louis-Hébert|Liberal|22933
Louis-Hébert|Conservative|14332
Louis-Hébert|NDP-New Democratic Party|4337
Louis-Saint-Laurent|Bloc Québécois|13069
Louis-Saint-Laurent|Green Party|907
Louis-Saint-Laurent|People's Party - PPC|1337
Louis-Saint-Laurent|Conservative|33098
Louis-Saint-Laurent|Free Party Canada|1089
Louis-Saint-Laurent|NDP-New Democratic Party|3370
Louis-Saint-Laurent|Liberal|11228
Louis-Saint-Laurent|Bloc Québécois|13069
Louis-Saint-Laurent|Green Party|907
Louis-Saint-Laurent|People's Party - PPC|1337
Louis-Saint-Laurent|Conservative|33098
Louis-Saint-Laurent|Free Party Canada|1089
Louis-Saint-Laurent|NDP-New Democratic Party|3370
Louis-Saint-Laurent|Liberal|11228
Manicouagan|Liberal|6539
Manicouagan|Bloc Québécois|18414
Manicouagan|Free Party Canada|887
Manicouagan|NDP-New Democratic Party|1514
Manicouagan|Conservative|7614
Manicouagan|Liberal|6545
Manicouagan|Bloc Québécois|18419
Manicouagan|Free Party Canada|887
Manicouagan|NDP-New Democratic Party|1509
Manicouagan|Conservative|7640
Mégantic--L'Érable|Conservative|26121
Mégantic--L'Érable|Independent|403
Mégantic--L'Érable|NDP-New Democratic Party|1308
Mégantic--L'Érable|People's Party - PPC|1677
Mégantic--L'Érable|Green Party|592
Mégantic--L'Érable|Bloc Québécois|9318
Mégantic--L'Érable|Liberal|6329
Mégantic--L'Érable|Free Party Canada|680
Mégantic--L'Érable|Conservative|26121
Mégantic--L'Érable|Independent|403
Mégantic--L'Érable|NDP-New Democratic Party|1308
Mégantic--L'Érable|People's Party - PPC|1677
Mégantic--L'Érable|Green Party|592
Mégantic--L'Érable|Bloc Québécois|9318
Mégantic--L'Érable|Liberal|6329
Mégantic--L'Érable|Free Party Canada|680
Mirabel|NDP-New Democratic Party|5305
Mirabel|Free Party Canada|1187
Mirabel|Bloc Québécois|29293
Mirabel|Green Party|1415
Mirabel|Conservative|8478
Mirabel|Liberal|14847
Mirabel|People's Party - PPC|2597
Mirabel|NDP-New Democratic Party|5221
Mirabel|Free Party Canada|1182
Mirabel|Bloc Québécois|29376
Mirabel|Green Party|1412
Mirabel|Conservative|8510
Mirabel|Liberal|14842
Mirabel|People's Party - PPC|2569
Montarville|Bloc Québécois|25972
Montarville|People's Party - PPC|1229
Montarville|Liberal|19942
Montarville|Conservative|5455
Montarville|NDP-New Democratic Party|4796
Montarville|Bloc Québécois|26011
Montarville|People's Party - PPC|1218
Montarville|Liberal|19974
Montarville|Conservative|5460
Montarville|NDP-New Democratic Party|4809
Montcalm|People's Party - PPC|2258
Montcalm|Free Party Canada|1074
Montcalm|Conservative|6011
Montcalm|NDP-New Democratic Party|3218
Montcalm|Green Party|1317
Montcalm|Liberal|10196
Montcalm|Bloc Québécois|27378
Montcalm|People's Party - PPC|2258
Montcalm|Free Party Canada|1074
Montcalm|Conservative|6011
Montcalm|NDP-New Democratic Party|3218
Montcalm|Green Party|1317
Montcalm|Liberal|10196
Montcalm|Bloc Québécois|27378
Montmagny--L'Islet--Kamouraska--Rivière-du-Loup|Bloc Québécois|12523
Montmagny--L'Islet--Kamouraska--Rivière-du-Loup|NDP-New Democratic Party|1597
Montmagny--L'Islet--Kamouraska--Rivière-du-Loup|Conservative|24118
Montmagny--L'Islet--Kamouraska--Rivière-du-Loup|Liberal|8371
Montmagny--L'Islet--Kamouraska--Rivière-du-Loup|Parti Rhinocéros Party|269
Montmagny--L'Islet--Kamouraska--Rivière-du-Loup|Free Party Canada|919
Montmagny--L'Islet--Kamouraska--Rivière-du-Loup|Bloc Québécois|12550
Montmagny--L'Islet--Kamouraska--Rivière-du-Loup|NDP-New Democratic Party|1597
Montmagny--L'Islet--Kamouraska--Rivière-du-Loup|Conservative|24118
Montmagny--L'Islet--Kamouraska--Rivière-du-Loup|Liberal|8361
Montmagny--L'Islet--Kamouraska--Rivière-du-Loup|Parti Rhinocéros Party|269
Montmagny--L'Islet--Kamouraska--Rivière-du-Loup|Free Party Canada|917
Mount Royal|Green Party|1085
Mount Royal|Conservative|9871
Mount Royal|NDP-New Democratic Party|3378
Mount Royal|Liberal|23292
Mount Royal|Marxist-Leninist|96
Mount Royal|Bloc Québécois|1582
Mount Royal|People's Party - PPC|1053
Mount Royal|Green Party|1083
Mount Royal|Conservative|9889
Mount Royal|NDP-New Democratic Party|3381
Mount Royal|Liberal|23284
Mount Royal|Marxist-Leninist|89
Mount Royal|Bloc Québécois|1585
Mount Royal|People's Party - PPC|1051
Notre-Dame-de-Grâce--Westmount|Bloc Québécois|2409
Notre-Dame-de-Grâce--Westmount|NDP-New Democratic Party|8753
Notre-Dame-de-Grâce--Westmount|Green Party|1829
Notre-Dame-de-Grâce--Westmount|People's Party - PPC|1498
Notre-Dame-de-Grâce--Westmount|Liberal|24593
Notre-Dame-de-Grâce--Westmount|Marxist-Leninist|126
Notre-Dame-de-Grâce--Westmount|Conservative|6407
Notre-Dame-de-Grâce--Westmount|Christian Heritage Party|65
Notre-Dame-de-Grâce--Westmount|Bloc Québécois|2407
Notre-Dame-de-Grâce--Westmount|NDP-New Democratic Party|8753
Notre-Dame-de-Grâce--Westmount|Green Party|1835
Notre-Dame-de-Grâce--Westmount|People's Party - PPC|1498
Notre-Dame-de-Grâce--Westmount|Liberal|24510
Notre-Dame-de-Grâce--Westmount|Marxist-Leninist|117
Notre-Dame-de-Grâce--Westmount|Conservative|6412
Notre-Dame-de-Grâce--Westmount|Christian Heritage Party|59
Outremont|Liberal|16442
Outremont|Bloc Québécois|5491
Outremont|Independent|94
Outremont|Conservative|2848
Outremont|People's Party - PPC|813
Outremont|NDP-New Democratic Party|9487
Outremont|Green Party|1202
Outremont|Liberal|16714
Outremont|Bloc Québécois|5535
Outremont|Independent|93
Outremont|Conservative|2882
Outremont|People's Party - PPC|819
Outremont|NDP-New Democratic Party|9579
Outremont|Green Party|1198
Papineau|Bloc Québécois|6874
Papineau|People's Party - PPC|1060
Papineau|Marxist-Leninist|115
Papineau|Green Party|1458
Papineau|Independent|108
Papineau|NDP-New Democratic Party|10303
Papineau|Conservative|2203
Papineau|Liberal|22526
Papineau|Independent|427
Papineau|Parti Rhinocéros Party|428
Papineau|Bloc Québécois|6830
Papineau|People's Party - PPC|1064
Papineau|Marxist-Leninist|115
Papineau|Green Party|1448
Papineau|Independent|102
Papineau|NDP-New Democratic Party|10303
Papineau|Conservative|2198
Papineau|Liberal|22848
Papineau|Independent|97
Papineau|Parti Rhinocéros Party|418
Pierrefonds--Dollard|Bloc Québécois|4141
Pierrefonds--Dollard|Conservative|10893
Pierrefonds--Dollard|People's Party - PPC|1942
Pierrefonds--Dollard|NDP-New Democratic Party|6034
Pierrefonds--Dollard|Liberal|29296
Pierrefonds--Dollard|Bloc Québécois|4141
Pierrefonds--Dollard|Conservative|10893
Pierrefonds--Dollard|People's Party - PPC|1942
Pierrefonds--Dollard|NDP-New Democratic Party|6034
Pierrefonds--Dollard|Liberal|29296
Pontiac|Liberal|26999
Pontiac|Bloc Québécois|10425
Pontiac|Conservative|12798
Pontiac|NDP-New Democratic Party|6824
Pontiac|People's Party - PPC|2821
Pontiac|Free Party Canada|507
Pontiac|Green Party|1710
Pontiac|CFF - Canada's Fourth Front|72
Pontiac|Liberal|26899
Pontiac|Bloc Québécois|10424
Pontiac|Conservative|12804
Pontiac|NDP-New Democratic Party|6824
Pontiac|People's Party - PPC|2813
Pontiac|Free Party Canada|480
Pontiac|Green Party|1711
Pontiac|CFF - Canada's Fourth Front|52
Portneuf--Jacques-Cartier|Liberal|10068
Portneuf--Jacques-Cartier|Free Party Canada|677
Portneuf--Jacques-Cartier|NDP-New Democratic Party|3323
Portneuf--Jacques-Cartier|Conservative|33638
Portneuf--Jacques-Cartier|Bloc Québécois|15595
Portneuf--Jacques-Cartier|People's Party - PPC|1709
Portneuf--Jacques-Cartier|Parti Rhinocéros Party|490
Portneuf--Jacques-Cartier|Liberal|10068
Portneuf--Jacques-Cartier|Free Party Canada|638
Portneuf--Jacques-Cartier|NDP-New Democratic Party|3223
Portneuf--Jacques-Cartier|Conservative|33657
Portneuf--Jacques-Cartier|Bloc Québécois|15525
Portneuf--Jacques-Cartier|People's Party - PPC|1615
Portneuf--Jacques-Cartier|Parti Rhinocéros Party|490
Québec|Conservative|9195
Québec|People's Party - PPC|855
Québec|NDP-New Democratic Party|6666
Québec|Liberal|18121
Québec|Green Party|1176
Québec|Bloc Québécois|14854
Québec|Free Party Canada|305
Québec|Conservative|9239
Québec|People's Party - PPC|855
Québec|NDP-New Democratic Party|6652
Québec|Liberal|18132
Québec|Green Party|1182
Québec|Bloc Québécois|14824
Québec|Free Party Canada|307
Repentigny|Conservative|5332
Repentigny|Pour l'Indépendance du Québec|516
Repentigny|Free Party Canada|2026
Repentigny|Liberal|16471
Repentigny|NDP-New Democratic Party|4489
Repentigny|Bloc Québécois|30858
Repentigny|Conservative|5328
Repentigny|Pour l'Indépendance du Québec|516
Repentigny|Free Party Canada|2025
Repentigny|Liberal|16500
Repentigny|NDP-New Democratic Party|4484
Repentigny|Bloc Québécois|30848
Richmond--Arthabaska|NDP-New Democratic Party|2539
Richmond--Arthabaska|Parti Rhinocéros Party|448
Richmond--Arthabaska|Liberal|8543
Richmond--Arthabaska|People's Party - PPC|2058
Richmond--Arthabaska|Conservative|28253
Richmond--Arthabaska|Free Party Canada|898
Richmond--Arthabaska|Bloc Québécois|14150
Richmond--Arthabaska|NDP-New Democratic Party|2550
Richmond--Arthabaska|Parti Rhinocéros Party|448
Richmond--Arthabaska|Liberal|8543
Richmond--Arthabaska|People's Party - PPC|2058
Richmond--Arthabaska|Conservative|28513
Richmond--Arthabaska|Free Party Canada|897
Richmond--Arthabaska|Bloc Québécois|14150
Rivière-des-Mille-Îles|Free Party Canada|847
Rivière-des-Mille-Îles|Pour l'Indépendance du Québec|129
Rivière-des-Mille-Îles|Bloc Québécois|21645
Rivière-des-Mille-Îles|Parti Patriote|148
Rivière-des-Mille-Îles|Conservative|5479
Rivière-des-Mille-Îles|NDP-New Democratic Party|3903
Rivière-des-Mille-Îles|Liberal|18838
Rivière-des-Mille-Îles|People's Party - PPC|1505
Rivière-des-Mille-Îles|Green Party|971
Rivière-des-Mille-Îles|Free Party Canada|847
Rivière-des-Mille-Îles|Pour l'Indépendance du Québec|119
Rivière-des-Mille-Îles|Bloc Québécois|21645
Rivière-des-Mille-Îles|Parti Patriote|149
Rivière-des-Mille-Îles|Conservative|5479
Rivière-des-Mille-Îles|NDP-New Democratic Party|3852
Rivière-des-Mille-Îles|Liberal|18835
Rivière-des-Mille-Îles|People's Party - PPC|1468
Rivière-des-Mille-Îles|Green Party|972
Rivière-du-Nord|Liberal|12766
Rivière-du-Nord|Free Party Canada|1035
Rivière-du-Nord|Bloc Québécois|29941
Rivière-du-Nord|Conservative|6891
Rivière-du-Nord|NDP-New Democratic Party|3950
Rivière-du-Nord|People's Party - PPC|2165
Rivière-du-Nord|Parti Rhinocéros Party|374
Rivière-du-Nord|Pour l'Indépendance du Québec|282
Rivière-du-Nord|Liberal|12767
Rivière-du-Nord|Free Party Canada|1036
Rivière-du-Nord|Bloc Québécois|29943
Rivière-du-Nord|Conservative|6803
Rivière-du-Nord|NDP-New Democratic Party|3958
Rivière-du-Nord|People's Party - PPC|2164
Rivière-du-Nord|Parti Rhinocéros Party|373
Rivière-du-Nord|Pour l'Indépendance du Québec|285
Rosemont--La Petite-Patrie|NDP-New Democratic Party|26726
Rosemont--La Petite-Patrie|Marxist-Leninist|346
Rosemont--La Petite-Patrie|Liberal|12633
Rosemont--La Petite-Patrie|Green Party|1378
Rosemont--La Petite-Patrie|Conservative|2207
Rosemont--La Petite-Patrie|Bloc Québécois|11732
Rosemont--La Petite-Patrie|NDP-New Democratic Party|26708
Rosemont--La Petite-Patrie|Marxist-Leninist|284
