||
Electoral district name|Political affiliation|Votes obtained - Votes obtenus
Kings--Hants|Conservative|13234
Kings--Hants|Green Party|940
Kings--Hants|NDP-New Democratic Party|8645
Sackville--Preston--Chezzetcook|NDP-New Democratic Party|12011
Sackville--Preston--Chezzetcook|Conservative|12044
Sackville--Preston--Chezzetcook|Green Party|933
Sackville--Preston--Chezzetcook|People's Party - PPC|1776
Sackville--Preston--Chezzetcook|Liberal|18839
Sackville--Preston--Chezzetcook|NDP-New Democratic Party|12012
Sackville--Preston--Chezzetcook|Conservative|12047
Sackville--Preston--Chezzetcook|Green Party|933
Sackville--Preston--Chezzetcook|People's Party - PPC|1776
Sackville--Preston--Chezzetcook|Liberal|18838
South Shore--St. Margarets|NDP-New Democratic Party|9541
South Shore--St. Margarets|Liberal|18527
South Shore--St. Margarets|Conservative|20444
South Shore--St. Margarets|Green Party|1435
South Shore--St. Margarets|NDP-New Democratic Party|9541
South Shore--St. Margarets|Liberal|18575
South Shore--St. Margarets|Conservative|20454
South Shore--St. Margarets|Green Party|1434
Sydney--Victoria|People's Party - PPC|1195
Sydney--Victoria|Liberal|14198
Sydney--Victoria|Marxist-Leninist|129
Sydney--Victoria|Green Party|443
Sydney--Victoria|Conservative|13107
Sydney--Victoria|NDP-New Democratic Party|7159
Sydney--Victoria|People's Party - PPC|1176
Sydney--Victoria|Liberal|14250
Sydney--Victoria|Marxist-Leninist|127
Sydney--Victoria|Green Party|376
Sydney--Victoria|Conservative|13166
Sydney--Victoria|NDP-New Democratic Party|7217
West Nova|NDP-New Democratic Party|5645
West Nova|Liberal|13747
West Nova|People's Party - PPC|2490
West Nova|Conservative|22104
West Nova|NDP-New Democratic Party|5645
West Nova|Liberal|13732
West Nova|People's Party - PPC|2390
West Nova|Conservative|22104
Acadie--Bathurst|Liberal|27831
Acadie--Bathurst|Free Party Canada|549
Acadie--Bathurst|NDP-New Democratic Party|4900
Acadie--Bathurst|Green Party|1203
Acadie--Bathurst|People's Party - PPC|2541
Acadie--Bathurst|Conservative|5916
Acadie--Bathurst|Liberal|27817
Acadie--Bathurst|Free Party Canada|549
Acadie--Bathurst|NDP-New Democratic Party|4906
Acadie--Bathurst|Green Party|1203
Acadie--Bathurst|People's Party - PPC|2531
Acadie--Bathurst|Conservative|5916
Beauséjour|Green Party|2797
Beauséjour|NDP-New Democratic Party|5479
Beauséjour|Liberal|27313
Beauséjour|People's Party - PPC|3723
Beauséjour|Conservative|9535
Beauséjour|Free Party Canada|391
Beauséjour|Green Party|2798
Beauséjour|NDP-New Democratic Party|5394
Beauséjour|Liberal|27313
Beauséjour|People's Party - PPC|3723
Beauséjour|Conservative|9526
Beauséjour|Free Party Canada|391
Fredericton|Liberal|16316
Fredericton|Conservative|15814
Fredericton|Libertarian|234
Fredericton|Green Party|5666
Fredericton|NDP-New Democratic Party|5564
Fredericton|Communist|158
Fredericton|Independent|310
Fredericton|Liberal|16316
Fredericton|Conservative|15814
Fredericton|Libertarian|234
Fredericton|Green Party|5666
Fredericton|NDP-New Democratic Party|5564
Fredericton|Communist|158
Fredericton|Independent|310
Fundy Royal|Liberal|11172
Fundy Royal|NDP-New Democratic Party|6295
Fundy Royal|Conservative|21561
Fundy Royal|Green Party|2236
Fundy Royal|People's Party - PPC|3474
Fundy Royal|Liberal|11075
Fundy Royal|NDP-New Democratic Party|6211
Fundy Royal|Conservative|21460
Fundy Royal|Green Party|2189
Fundy Royal|People's Party - PPC|3447
Madawaska--Restigouche|Liberal|16854
